Economy,ADB Country Code,Sector,Country 2018 GDP,Scenario,as % of total GDP,dollar ,Employment (in 000),as % of sector GDP,as % of sector employment,,
Norway,NOR,"Light/Heavy Manufacturing, Utilities, and Construction",434166.6154,"Shorter containment, smaller demand shock",-0.35,1529.93,7.00,-1.96,-2.03,,
Norway,NOR,Transport services,434166.6154,"Shorter containment, smaller demand shock",-0.24,1052.82,3.00,-3.02,-3.01,,
Norway,NOR,_All,434166.6154,"Shorter containment, smaller demand shock",-2.15,9341.59,43.00,-2.15,-1.85,,
Poland,POL,"Agriculture, Mining and Quarrying",585663.8148,"Shorter containment, smaller demand shock",-0.14,845.08,54.00,-2.97,-2.24,,
Poland,POL,"Business, Trade, Personal, and Public Services",585663.8148,"Shorter containment, smaller demand shock",-1.49,8719.98,246.00,-2.74,-2.55,,
Poland,POL,Hotel and restaurants and Other Personal Services,585663.8148,"Shorter containment, smaller demand shock",-0.35,2045.20,125.00,-9.19,-9.15,,
Poland,POL,"Light/Heavy Manufacturing, Utilities, and Construction",585663.8148,"Shorter containment, smaller demand shock",-0.82,4827.88,135.00,-2.56,-2.35,,
Poland,POL,Transport services,585663.8148,"Shorter containment, smaller demand shock",-0.98,5731.03,209.00,-20.18,-19.80,,
Poland,POL,_All,585663.8148,"Shorter containment, smaller demand shock",-3.79,22169.17,768.00,-3.79,-3.80,,
Portugal,POR,"Agriculture, Mining and Quarrying",240674.5245,"Shorter containment, smaller demand shock",-0.06,144.12,13.00,-2.34,-2.23,,
Portugal,POR,"Business, Trade, Personal, and Public Services",240674.5245,"Shorter containment, smaller demand shock",-1.35,3253.29,68.00,-2.20,-2.25,,
Portugal,POR,Hotel and restaurants and Other Personal Services,240674.5245,"Shorter containment, smaller demand shock",-0.52,1247.31,31.00,-5.32,-4.77,,
Portugal,POR,"Light/Heavy Manufacturing, Utilities, and Construction",240674.5245,"Shorter containment, smaller demand shock",-0.47,1141.71,27.00,-2.20,-2.07,,
Portugal,POR,Transport services,240674.5245,"Shorter containment, smaller demand shock",-0.59,1430.03,18.00,-12.58,-10.17,,
Portugal,POR,_All,240674.5245,"Shorter containment, smaller demand shock",-3.00,7216.46,157.00,-3.00,-2.74,,
Romania,ROM,"Agriculture, Mining and Quarrying",239552.5167,"Shorter containment, smaller demand shock",-0.11,254.17,55.00,-1.84,-1.76,,
Romania,ROM,"Business, Trade, Personal, and Public Services",239552.5167,"Shorter containment, smaller demand shock",-0.88,2105.60,107.00,-1.90,-1.82,,
Romania,ROM,Hotel and restaurants and Other Personal Services,239552.5167,"Shorter containment, smaller demand shock",-0.19,451.83,20.00,-2.85,-3.08,,
Romania,ROM,"Light/Heavy Manufacturing, Utilities, and Construction",239552.5167,"Shorter containment, smaller demand shock",-0.65,1552.15,65.00,-1.97,-1.95,,
Romania,ROM,Transport services,239552.5167,"Shorter containment, smaller demand shock",-0.30,715.27,35.00,-3.53,-3.49,,
Romania,ROM,_All,239552.5167,"Shorter containment, smaller demand shock",-2.12,5079.01,283.00,-2.12,-2.01,,
Russia,RUS,"Agriculture, Mining and Quarrying",1657554.647,"Shorter containment, smaller demand shock",-0.30,4891.14,98.00,-1.80,-0.41,,
Russia,RUS,"Business, Trade, Personal, and Public Services",1657554.647,"Shorter containment, smaller demand shock",-0.23,3734.22,173.00,-0.45,-0.35,,
Russia,RUS,Hotel and restaurants and Other Personal Services,1657554.647,"Shorter containment, smaller demand shock",-0.02,274.42,40.00,-0.55,-0.49,,
Russia,RUS,"Light/Heavy Manufacturing, Utilities, and Construction",1657554.647,"Shorter containment, smaller demand shock",-0.18,2954.12,114.00,-0.77,-0.49,,
Russia,RUS,Transport services,1657554.647,"Shorter containment, smaller demand shock",-0.18,2979.51,155.00,-2.58,-2.77,,
Russia,RUS,_All,1657554.647,"Shorter containment, smaller demand shock",-0.89,14833.40,579.00,-0.89,-0.52,,
Slovak Republic,SVK,"Agriculture, Mining and Quarrying",105904.6322,"Shorter containment, smaller demand shock",-0.07,76.06,2.00,-2.03,-2.02,,
Slovak Republic,SVK,"Business, Trade, Personal, and Public Services",105904.6322,"Shorter containment, smaller demand shock",-0.93,987.17,25.00,-1.91,-1.89,,
Slovak Republic,SVK,Hotel and restaurants and Other Personal Services,105904.6322,"Shorter containment, smaller demand shock",-0.30,315.82,9.00,-5.12,-4.55,,
Slovak Republic,SVK,"Light/Heavy Manufacturing, Utilities, and Construction",105904.6322,"Shorter containment, smaller demand shock",-0.71,754.85,15.00,-2.04,-1.96,,
Slovak Republic,SVK,Transport services,105904.6322,"Shorter containment, smaller demand shock",-0.40,420.27,9.00,-5.81,-5.98,,
Slovak Republic,SVK,_All,105904.6322,"Shorter containment, smaller demand shock",-2.41,2554.17,60.00,-2.41,-2.38,,
Slovenia,SVN,"Agriculture, Mining and Quarrying",54007.97211,"Shorter containment, smaller demand shock",-0.05,27.28,2.00,-1.97,-1.90,,
Slovenia,SVN,"Business, Trade, Personal, and Public Services",54007.97211,"Shorter containment, smaller demand shock",-1.16,627.49,12.00,-2.20,-2.20,,
Slovenia,SVN,Hotel and restaurants and Other Personal Services,54007.97211,"Shorter containment, smaller demand shock",-0.18,97.73,3.00,-3.13,-3.08,,
Slovenia,SVN,"Light/Heavy Manufacturing, Utilities, and Construction",54007.97211,"Shorter containment, smaller demand shock",-0.63,339.44,7.00,-1.92,-1.93,,
Slovenia,SVN,Transport services,54007.97211,"Shorter containment, smaller demand shock",-0.42,227.65,4.00,-6.90,-8.20,,
Slovenia,SVN,_All,54007.97211,"Shorter containment, smaller demand shock",-2.44,1319.59,28.00,-2.44,-2.42,,
Sweden,SWE,"Agriculture, Mining and Quarrying",556086.4889,"Shorter containment, smaller demand shock",-0.04,206.93,3.00,-2.14,-2.16,,
Sweden,SWE,"Business, Trade, Personal, and Public Services",556086.4889,"Shorter containment, smaller demand shock",-1.40,7775.70,70.00,-2.17,-2.14,,
Sweden,SWE,Hotel and restaurants and Other Personal Services,556086.4889,"Shorter containment, smaller demand shock",-0.15,812.34,18.00,-2.95,-3.14,,
Sweden,SWE,"Light/Heavy Manufacturing, Utilities, and Construction",556086.4889,"Shorter containment, smaller demand shock",-0.52,2909.76,23.00,-2.14,-2.13,,
Sweden,SWE,Transport services,556086.4889,"Shorter containment, smaller demand shock",-0.16,898.60,8.00,-3.63,-3.23,,
Sweden,SWE,_All,556086.4889,"Shorter containment, smaller demand shock",-2.27,12603.32,121.00,-2.27,-2.30,,
Turkey,TUR,"Agriculture, Mining and Quarrying",771350.3305,"Shorter containment, smaller demand shock",-0.20,1554.20,137.00,-2.70,-2.68,,
Turkey,TUR,"Business, Trade, Personal, and Public Services",771350.3305,"Shorter containment, smaller demand shock",-1.23,9507.72,275.00,-2.65,-2.54,,
Turkey,TUR,Hotel and restaurants and Other Personal Services,771350.3305,"Shorter containment, smaller demand shock",-0.21,1644.70,127.00,-3.54,-3.58,,
Turkey,TUR,"Light/Heavy Manufacturing, Utilities, and Construction",771350.3305,"Shorter containment, smaller demand shock",-0.68,5222.33,210.00,-2.16,-2.09,,
Turkey,TUR,Transport services,771350.3305,"Shorter containment, smaller demand shock",-0.77,5936.79,90.00,-8.75,-8.92,,
Turkey,TUR,_All,771350.3305,"Shorter containment, smaller demand shock",-3.09,23865.76,839.00,-3.09,-2.75,,
"Taipei,China",TAP,"Agriculture, Mining and Quarrying",608186,"Shorter containment, smaller demand shock",-0.01,54.32,3.00,-0.51,-0.50,,
"Taipei,China",TAP,"Business, Trade, Personal, and Public Services",608186,"Shorter containment, smaller demand shock",-0.27,1659.26,30.00,-0.52,-0.58,,
"Taipei,China",TAP,Hotel and restaurants and Other Personal Services,608186,"Shorter containment, smaller demand shock",-0.24,1438.73,55.00,-3.51,-3.01,,
"Taipei,China",TAP,"Light/Heavy Manufacturing, Utilities, and Construction",608186,"Shorter containment, smaller demand shock",-0.75,4546.12,70.00,-2.06,-1.56,,
"Taipei,China",TAP,Transport services,608186,"Shorter containment, smaller demand shock",-0.15,927.96,26.00,-5.44,-5.39,,
"Taipei,China",TAP,_All,608186,"Shorter containment, smaller demand shock",-1.42,8626.39,184.00,-1.42,-1.47,,
United States,USA,"Agriculture, Mining and Quarrying",20544343.46,"Shorter containment, smaller demand shock",-0.06,12346.19,82.00,-2.18,-2.07,,
United States,USA,"Business, Trade, Personal, and Public Services",20544343.46,"Shorter containment, smaller demand shock",-1.35,277585.59,2201.00,-1.98,-1.97,,
United States,USA,Hotel and restaurants and Other Personal Services,20544343.46,"Shorter containment, smaller demand shock",-0.21,42246.37,654.00,-2.91,-2.64,,
United States,USA,"Light/Heavy Manufacturing, Utilities, and Construction",20544343.46,"Shorter containment, smaller demand shock",-0.39,79362.71,484.00,-2.00,-1.96,,
United States,USA,Transport services,20544343.46,"Shorter containment, smaller demand shock",-0.16,33720.38,252.00,-6.10,-4.80,,
United States,USA,_All,20544343.46,"Shorter containment, smaller demand shock",-2.17,445261.23,3673.00,-2.17,-2.16,,
Bangladesh,BAN,"Agriculture, Mining and Quarrying",274024.959,"Shorter containment, smaller demand shock",-0.02,61.31,41.00,-0.14,-0.14,,
Bangladesh,BAN,"Business, Trade, Personal, and Public Services",274024.959,"Shorter containment, smaller demand shock",-0.05,124.26,15.00,-0.12,-0.09,,
Bangladesh,BAN,Hotel and restaurants and Other Personal Services,274024.959,"Shorter containment, smaller demand shock",-0.01,19.22,3.00,-0.06,-0.08,,
Bangladesh,BAN,"Light/Heavy Manufacturing, Utilities, and Construction",274024.959,"Shorter containment, smaller demand shock",-0.10,263.51,64.00,-0.34,-0.38,,
Bangladesh,BAN,Transport services,274024.959,"Shorter containment, smaller demand shock",-0.01,22.96,4.00,-0.10,-0.10,,
Bangladesh,BAN,_All,274024.959,"Shorter containment, smaller demand shock",-0.18,491.26,127.00,-0.18,-0.18,,
Malaysia,MAL,"Agriculture, Mining and Quarrying",358581.9434,"Shorter containment, smaller demand shock",-0.16,589.15,11.00,-0.99,-0.58,,
Malaysia,MAL,"Business, Trade, Personal, and Public Services",358581.9434,"Shorter containment, smaller demand shock",-0.31,1119.37,75.00,-0.68,-0.74,,
Malaysia,MAL,Hotel and restaurants and Other Personal Services,358581.9434,"Shorter containment, smaller demand shock",-0.28,996.77,66.00,-5.34,-5.75,,
Malaysia,MAL,"Light/Heavy Manufacturing, Utilities, and Construction",358581.9434,"Shorter containment, smaller demand shock",-0.24,869.39,30.00,-0.85,-0.77,,
Malaysia,MAL,Transport services,358581.9434,"Shorter containment, smaller demand shock",-0.11,400.94,20.00,-3.18,-3.02,,
Malaysia,MAL,_All,358581.9434,"Shorter containment, smaller demand shock",-1.11,3975.62,202.00,-1.11,-1.13,,
Philippines,PHI,"Agriculture, Mining and Quarrying",330910.3436,"Shorter containment, smaller demand shock",-0.08,258.91,91.00,-0.77,-0.77,,
Philippines,PHI,"Business, Trade, Personal, and Public Services",330910.3436,"Shorter containment, smaller demand shock",-0.25,818.42,98.00,-0.47,-0.47,,
Philippines,PHI,Hotel and restaurants and Other Personal Services,330910.3436,"Shorter containment, smaller demand shock",-0.20,646.93,105.00,-4.73,-4.93,,
Philippines,PHI,"Light/Heavy Manufacturing, Utilities, and Construction",330910.3436,"Shorter containment, smaller demand shock",-0.21,692.78,46.00,-0.70,-0.61,,
Philippines,PHI,Transport services,330910.3436,"Shorter containment, smaller demand shock",-0.06,199.02,20.00,-1.68,-1.65,,
Philippines,PHI,_All,330910.3436,"Shorter containment, smaller demand shock",-0.79,2616.06,360.00,-0.79,-0.82,,
Thailand,THA,"Agriculture, Mining and Quarrying",504992.7577,"Shorter containment, smaller demand shock",-0.12,619.44,269.00,-1.52,-1.48,,
Thailand,THA,"Business, Trade, Personal, and Public Services",504992.7577,"Shorter containment, smaller demand shock",-0.56,2821.28,166.00,-1.19,-1.14,,
Thailand,THA,Hotel and restaurants and Other Personal Services,504992.7577,"Shorter containment, smaller demand shock",-0.99,4991.82,209.00,-7.44,-11.63,,
Thailand,THA,"Light/Heavy Manufacturing, Utilities, and Construction",504992.7577,"Shorter containment, smaller demand shock",-0.35,1772.56,110.00,-1.22,-1.34,,
Thailand,THA,Transport services,504992.7577,"Shorter containment, smaller demand shock",-0.28,1435.71,172.00,-8.85,-8.12,,
Thailand,THA,_All,504992.7577,"Shorter containment, smaller demand shock",-2.31,11640.81,926.00,-2.31,-2.06,,
Viet Nam,VIE,"Agriculture, Mining and Quarrying",245213.6864,"Shorter containment, smaller demand shock",-0.22,544.96,292.00,-1.41,-1.13,,
Viet Nam,VIE,"Business, Trade, Personal, and Public Services",245213.6864,"Shorter containment, smaller demand shock",-0.25,608.01,63.00,-0.74,-0.65,,
Viet Nam,VIE,Hotel and restaurants and Other Personal Services,245213.6864,"Shorter containment, smaller demand shock",-0.23,553.83,137.00,-4.78,-4.84,,
Viet Nam,VIE,"Light/Heavy Manufacturing, Utilities, and Construction",245213.6864,"Shorter containment, smaller demand shock",-0.49,1205.18,130.00,-1.16,-0.96,,
Viet Nam,VIE,Transport services,245213.6864,"Shorter containment, smaller demand shock",-0.24,593.03,96.00,-7.01,-6.87,,
Viet Nam,VIE,_All,245213.6864,"Shorter containment, smaller demand shock",-1.43,3505.01,720.00,-1.43,-1.34,,
Kazakhstan,KAZ,"Agriculture, Mining and Quarrying",179339.9949,"Shorter containment, smaller demand shock",-0.35,632.50,23.00,-1.62,-0.39,,
Kazakhstan,KAZ,"Business, Trade, Personal, and Public Services",179339.9949,"Shorter containment, smaller demand shock",-0.19,345.15,9.00,-0.43,-0.35,,
Kazakhstan,KAZ,Hotel and restaurants and Other Personal Services,179339.9949,"Shorter containment, smaller demand shock",-0.04,65.03,2.00,-0.90,-0.76,,
Kazakhstan,KAZ,"Light/Heavy Manufacturing, Utilities, and Construction",179339.9949,"Shorter containment, smaller demand shock",-0.15,262.10,10.00,-0.70,-0.57,,
Kazakhstan,KAZ,Transport services,179339.9949,"Shorter containment, smaller demand shock",-0.23,407.42,4.00,-2.61,-1.49,,
Kazakhstan,KAZ,_All,179339.9949,"Shorter containment, smaller demand shock",-0.95,1712.19,49.00,-0.95,-0.45,,
Mongolia,MON,"Agriculture, Mining and Quarrying",13066.74914,"Shorter containment, smaller demand shock",-1.07,139.53,4.00,-2.76,-1.02,,
Mongolia,MON,"Business, Trade, Personal, and Public Services",13066.74914,"Shorter containment, smaller demand shock",-0.34,44.14,4.00,-0.90,-0.80,,
Mongolia,MON,Hotel and restaurants and Other Personal Services,13066.74914,"Shorter containment, smaller demand shock",-0.13,17.02,4.00,-5.63,-5.61,,
Mongolia,MON,"Light/Heavy Manufacturing, Utilities, and Construction",13066.74914,"Shorter containment, smaller demand shock",-0.15,19.00,2.00,-0.89,-0.77,,
Mongolia,MON,Transport services,13066.74914,"Shorter containment, smaller demand shock",-0.28,36.91,4.00,-5.37,-6.05,,
Mongolia,MON,_All,13066.74914,"Shorter containment, smaller demand shock",-1.96,256.61,18.00,-1.96,-1.44,,
Sri Lanka,SRI,"Agriculture, Mining and Quarrying",88900.77086,"Shorter containment, smaller demand shock",-0.07,60.85,18.00,-0.58,-0.70,,
Sri Lanka,SRI,"Business, Trade, Personal, and Public Services",88900.77086,"Shorter containment, smaller demand shock",-0.28,249.67,14.00,-0.74,-0.48,,
Sri Lanka,SRI,Hotel and restaurants and Other Personal Services,88900.77086,"Shorter containment, smaller demand shock",-0.49,431.97,29.00,-3.85,-6.43,,
Sri Lanka,SRI,"Light/Heavy Manufacturing, Utilities, and Construction",88900.77086,"Shorter containment, smaller demand shock",-0.20,176.72,17.00,-0.75,-0.79,,
Sri Lanka,SRI,Transport services,88900.77086,"Shorter containment, smaller demand shock",-0.65,573.58,28.00,-5.69,-5.69,,
Sri Lanka,SRI,_All,88900.77086,"Shorter containment, smaller demand shock",-1.68,1492.79,106.00,-1.68,-1.23,,
Pakistan,PAK,"Agriculture, Mining and Quarrying",314588.2105,"Shorter containment, smaller demand shock",-0.05,154.66,58.00,-0.18,-0.19,,
Pakistan,PAK,"Business, Trade, Personal, and Public Services",314588.2105,"Shorter containment, smaller demand shock",-0.04,116.31,13.00,-0.09,-0.08,,
Pakistan,PAK,Hotel and restaurants and Other Personal Services,314588.2105,"Shorter containment, smaller demand shock",0.00,12.89,1.00,-0.09,-0.09,,
Pakistan,PAK,"Light/Heavy Manufacturing, Utilities, and Construction",314588.2105,"Shorter containment, smaller demand shock",-0.03,106.89,9.00,-0.20,-0.10,,
Pakistan,PAK,Transport services,314588.2105,"Shorter containment, smaller demand shock",-0.01,23.94,2.00,-0.08,-0.11,,
Pakistan,PAK,_All,314588.2105,"Shorter containment, smaller demand shock",-0.13,414.68,83.00,-0.13,-0.14,,
Fiji,FIJ,"Agriculture, Mining and Quarrying",5536.759659,"Shorter containment, smaller demand shock",-0.19,10.63,3.00,-1.70,-1.70,,
Fiji,FIJ,"Business, Trade, Personal, and Public Services",5536.759659,"Shorter containment, smaller demand shock",-0.77,42.62,1.00,-1.38,-1.56,,
Fiji,FIJ,Hotel and restaurants and Other Personal Services,5536.759659,"Shorter containment, smaller demand shock",-1.67,92.64,2.00,-22.34,-16.79,,
Fiji,FIJ,"Light/Heavy Manufacturing, Utilities, and Construction",5536.759659,"Shorter containment, smaller demand shock",-0.28,15.37,1.00,-1.62,-1.22,,
Fiji,FIJ,Transport services,5536.759659,"Shorter containment, smaller demand shock",-0.78,43.25,1.00,-9.43,-7.48,,
Fiji,FIJ,_All,5536.759659,"Shorter containment, smaller demand shock",-3.69,204.50,7.00,-3.69,-2.20,,
Lao People's Democratic Republic,LAO,"Agriculture, Mining and Quarrying",17953.78642,"Shorter containment, smaller demand shock",-0.19,34.18,13.00,-0.77,-0.61,,
Lao People's Democratic Republic,LAO,"Business, Trade, Personal, and Public Services",17953.78642,"Shorter containment, smaller demand shock",-0.17,31.25,5.00,-0.43,-0.47,,
Lao People's Democratic Republic,LAO,Hotel and restaurants and Other Personal Services,17953.78642,"Shorter containment, smaller demand shock",-0.25,44.76,6.00,-5.35,-6.49,,
Lao People's Democratic Republic,LAO,"Light/Heavy Manufacturing, Utilities, and Construction",17953.78642,"Shorter containment, smaller demand shock",-0.21,37.60,6.00,-0.74,-0.84,,
Lao People's Democratic Republic,LAO,Transport services,17953.78642,"Shorter containment, smaller demand shock",-0.19,33.55,5.00,-12.08,-4.91,,
Lao People's Democratic Republic,LAO,_All,17953.78642,"Shorter containment, smaller demand shock",-1.01,181.35,35.00,-1.01,-0.88,,
Brunei Darussalam,BRU,"Agriculture, Mining and Quarrying",13567.35118,"Shorter containment, smaller demand shock",-0.59,79.46,0.00,-1.27,-0.15,,
Brunei Darussalam,BRU,"Business, Trade, Personal, and Public Services",13567.35118,"Shorter containment, smaller demand shock",-0.05,7.13,0.00,-0.16,-0.24,,
Brunei Darussalam,BRU,Hotel and restaurants and Other Personal Services,13567.35118,"Shorter containment, smaller demand shock",-0.11,14.75,0.00,-5.48,-6.13,,
Brunei Darussalam,BRU,"Light/Heavy Manufacturing, Utilities, and Construction",13567.35118,"Shorter containment, smaller demand shock",-0.18,23.88,0.00,-1.02,-0.40,,
Brunei Darussalam,BRU,Transport services,13567.35118,"Shorter containment, smaller demand shock",-0.04,5.07,0.00,-2.27,-2.53,,
Brunei Darussalam,BRU,_All,13567.35118,"Shorter containment, smaller demand shock",-0.96,130.28,1.00,-0.96,-0.44,,
Bhutan,BHU,"Agriculture, Mining and Quarrying",2534.965163,"Shorter containment, smaller demand shock",-0.03,0.79,0.00,-0.14,-0.14,,
Bhutan,BHU,"Business, Trade, Personal, and Public Services",2534.965163,"Shorter containment, smaller demand shock",-0.07,1.85,0.00,-0.25,-0.30,,
Bhutan,BHU,Hotel and restaurants and Other Personal Services,2534.965163,"Shorter containment, smaller demand shock",-0.08,2.04,0.00,-3.04,-2.05,,
Bhutan,BHU,"Light/Heavy Manufacturing, Utilities, and Construction",2534.965163,"Shorter containment, smaller demand shock",-0.13,3.39,0.00,-0.35,-0.15,,
Bhutan,BHU,Transport services,2534.965163,"Shorter containment, smaller demand shock",-0.06,1.53,0.00,-0.80,-0.91,,
Bhutan,BHU,_All,2534.965163,"Shorter containment, smaller demand shock",-0.38,9.60,1.00,-0.38,-0.25,,
Kyrgyz Republic,KGZ,"Agriculture, Mining and Quarrying",8092.836609,"Shorter containment, smaller demand shock",-0.05,3.67,4.00,-0.28,-0.27,,
Kyrgyz Republic,KGZ,"Business, Trade, Personal, and Public Services",8092.836609,"Shorter containment, smaller demand shock",-0.27,21.84,6.00,-0.56,-0.75,,
Kyrgyz Republic,KGZ,Hotel and restaurants and Other Personal Services,8092.836609,"Shorter containment, smaller demand shock",-0.01,0.90,0.00,-0.28,-0.30,,
Kyrgyz Republic,KGZ,"Light/Heavy Manufacturing, Utilities, and Construction",8092.836609,"Shorter containment, smaller demand shock",-0.15,12.40,3.00,-0.57,-0.62,,
Kyrgyz Republic,KGZ,Transport services,8092.836609,"Shorter containment, smaller demand shock",-0.60,48.46,5.00,-12.91,-5.51,,
Kyrgyz Republic,KGZ,_All,8092.836609,"Shorter containment, smaller demand shock",-1.08,87.27,17.00,-1.08,-0.62,,
Cambodia,CAM,"Agriculture, Mining and Quarrying",24542.47406,"Shorter containment, smaller demand shock",-0.45,110.47,94.00,-1.76,-1.78,,
Cambodia,CAM,"Business, Trade, Personal, and Public Services",24542.47406,"Shorter containment, smaller demand shock",-0.42,102.79,44.00,-1.51,-1.58,,
Cambodia,CAM,Hotel and restaurants and Other Personal Services,24542.47406,"Shorter containment, smaller demand shock",-1.18,290.31,38.00,-14.65,-14.27,,
Cambodia,CAM,"Light/Heavy Manufacturing, Utilities, and Construction",24542.47406,"Shorter containment, smaller demand shock",-0.38,93.91,19.00,-1.17,-1.31,,
Cambodia,CAM,Transport services,24542.47406,"Shorter containment, smaller demand shock",-1.21,296.22,5.00,-20.72,-20.72,,
Cambodia,CAM,_All,24542.47406,"Shorter containment, smaller demand shock",-3.64,893.70,200.00,-3.64,-2.04,,
Maldives,MLD,"Agriculture, Mining and Quarrying",5327.45715,"Shorter containment, smaller demand shock",-0.16,8.75,6.00,-6.49,-6.49,,
Maldives,MLD,"Business, Trade, Personal, and Public Services",5327.45715,"Shorter containment, smaller demand shock",-1.16,61.90,2.00,-3.53,-5.21,,
Maldives,MLD,Hotel and restaurants and Other Personal Services,5327.45715,"Shorter containment, smaller demand shock",-3.36,178.84,1.00,-15.11,-19.78,,
Maldives,MLD,"Light/Heavy Manufacturing, Utilities, and Construction",5327.45715,"Shorter containment, smaller demand shock",-1.40,74.47,1.00,-3.74,-4.28,,
Maldives,MLD,Transport services,5327.45715,"Shorter containment, smaller demand shock",-0.94,50.05,1.00,-18.91,-12.25,,
Maldives,MLD,_All,5327.45715,"Shorter containment, smaller demand shock",-7.02,374.01,11.00,-7.02,-6.28,,
Nepal,NEP,"Agriculture, Mining and Quarrying",29040.39898,"Shorter containment, smaller demand shock",-0.03,7.32,8.00,-0.08,-0.08,,
Nepal,NEP,"Business, Trade, Personal, and Public Services",29040.39898,"Shorter containment, smaller demand shock",-0.07,20.43,13.00,-0.16,-0.24,,
Nepal,NEP,Hotel and restaurants and Other Personal Services,29040.39898,"Shorter containment, smaller demand shock",-0.19,55.04,18.00,-4.01,-3.54,,
Nepal,NEP,"Light/Heavy Manufacturing, Utilities, and Construction",29040.39898,"Shorter containment, smaller demand shock",-0.02,5.76,5.00,-0.14,-0.18,,
Nepal,NEP,Transport services,29040.39898,"Shorter containment, smaller demand shock",-0.10,29.34,4.00,-1.46,-0.87,,
Nepal,NEP,_All,29040.39898,"Shorter containment, smaller demand shock",-0.41,117.89,48.00,-0.41,-0.25,,
Singapore,SIN,"Agriculture, Mining and Quarrying",364156.6578,"Shorter containment, smaller demand shock",0.00,0.50,0.00,-0.55,-0.55,,
Singapore,SIN,"Business, Trade, Personal, and Public Services",364156.6578,"Shorter containment, smaller demand shock",-0.48,1754.63,22.00,-0.78,-0.81,,
Singapore,SIN,Hotel and restaurants and Other Personal Services,364156.6578,"Shorter containment, smaller demand shock",-0.08,284.65,6.00,-1.57,-1.40,,
Singapore,SIN,"Light/Heavy Manufacturing, Utilities, and Construction",364156.6578,"Shorter containment, smaller demand shock",-0.30,1090.55,7.00,-1.15,-1.06,,
Singapore,SIN,Transport services,364156.6578,"Shorter containment, smaller demand shock",-0.44,1604.63,23.00,-6.38,-6.41,,
Singapore,SIN,_All,364156.6578,"Shorter containment, smaller demand shock",-1.30,4734.95,58.00,-1.30,-1.41,,
"Hong Kong, China",HKG,"Agriculture, Mining and Quarrying",362682.0182,"Shorter containment, smaller demand shock",0.00,1.49,0.00,-0.60,-0.60,,
"Hong Kong, China",HKG,"Business, Trade, Personal, and Public Services",362682.0182,"Shorter containment, smaller demand shock",-0.62,2236.04,17.00,-0.77,-0.73,,
"Hong Kong, China",HKG,Hotel and restaurants and Other Personal Services,362682.0182,"Shorter containment, smaller demand shock",-0.10,368.60,7.00,-1.45,-0.80,,
"Hong Kong, China",HKG,"Light/Heavy Manufacturing, Utilities, and Construction",362682.0182,"Shorter containment, smaller demand shock",-0.03,103.82,2.00,-0.38,-0.41,,
"Hong Kong, China",HKG,Transport services,362682.0182,"Shorter containment, smaller demand shock",-0.65,2360.85,39.00,-11.49,-11.23,,
"Hong Kong, China",HKG,_All,362682.0182,"Shorter containment, smaller demand shock",-1.40,5070.80,66.00,-1.40,-1.56,,
Australia,AUS,"Agriculture, Mining and Quarrying",1433904.349,"Longer containment, larger demand shock",-0.59,8517.75,34.00,-4.92,-5.13,,
Australia,AUS,"Business, Trade, Personal, and Public Services",1433904.349,"Longer containment, larger demand shock",-3.55,50874.58,488.00,-5.82,-5.87,,
Australia,AUS,Hotel and restaurants and Other Personal Services,1433904.349,"Longer containment, larger demand shock",-0.75,10716.53,239.00,-14.30,-15.38,,
Australia,AUS,"Light/Heavy Manufacturing, Utilities, and Construction",1433904.349,"Longer containment, larger demand shock",-1.01,14483.16,141.00,-5.90,-5.94,,
Australia,AUS,Transport services,1433904.349,"Longer containment, larger demand shock",-0.64,9207.05,99.00,-13.82,-15.29,,
Australia,AUS,_All,1433904.349,"Longer containment, larger demand shock",-6.54,93799.08,1001.00,-6.54,-7.39,,
Austria,AUT,"Agriculture, Mining and Quarrying",455285.818,"Longer containment, larger demand shock",-0.08,360.40,15.00,-5.13,-4.89,,
Austria,AUT,"Business, Trade, Personal, and Public Services",455285.818,"Longer containment, larger demand shock",-3.00,13653.20,151.00,-5.48,-5.48,,
Austria,AUT,Hotel and restaurants and Other Personal Services,455285.818,"Longer containment, larger demand shock",-1.24,5658.51,73.00,-11.25,-11.26,,
Austria,AUT,"Light/Heavy Manufacturing, Utilities, and Construction",455285.818,"Longer containment, larger demand shock",-1.30,5929.39,58.00,-4.71,-4.72,,
Austria,AUT,Transport services,455285.818,"Longer containment, larger demand shock",-0.86,3907.86,45.00,-16.96,-18.08,,
Austria,AUT,_All,455285.818,"Longer containment, larger demand shock",-6.48,29509.37,342.00,-6.48,-6.60,,
Belgium,BEL,"Agriculture, Mining and Quarrying",542761.0921,"Longer containment, larger demand shock",-0.04,201.82,4.00,-4.80,-4.85,,
Belgium,BEL,"Business, Trade, Personal, and Public Services",542761.0921,"Longer containment, larger demand shock",-3.56,19296.56,195.00,-5.42,-5.50,,
Belgium,BEL,Hotel and restaurants and Other Personal Services,542761.0921,"Longer containment, larger demand shock",-0.49,2664.48,33.00,-7.69,-7.38,,
Belgium,BEL,"Light/Heavy Manufacturing, Utilities, and Construction",542761.0921,"Longer containment, larger demand shock",-1.17,6360.93,46.00,-5.22,-5.25,,
Belgium,BEL,Transport services,542761.0921,"Longer containment, larger demand shock",-0.40,2162.85,21.00,-8.34,-8.74,,
